"Leon Blevins","L. Blevins"
"Ike Borsavage","I. Borsavage"
"Nat Clifton","N. Clifton"
"Tommy O'Keefe","T. O'Keefe"
"Hank DeZonie","H. DeZonie"
"Herb Scherer","H. Scherer"
"Don Barksdale","D. Barksdale"
"Jake Fendley","J. Fendley"
"Jack Kiley","J. Kiley"
"George King","G. King"
"Dave Minor","D. Minor"
"Wally Osterkorn","W. Osterkorn"
"Ray Ragelis","R. Ragelis"
"Sam Ranzino","S. Ranzino"
"Don Savage","D. Savage"
"Chuck Share","C. Share"
"Zeke Sinicola","Z. Sinicola"
"Elmer Behnke","E. Behnke"
"Lew Hitch","L. Hitch"
"Mel Hutchins","M. Hutchins"
"Neil Johnston","N. Johnston"
"John McConathy","J. McConathy"
"Ralph O'Brien","R. O'Brien"
"Mel Payton","M. Payton"
"John Pilch","J. Pilch"
"Whitey Skoog","W. Skoog"
"Bill Tosheff","B. Tosheff"
"Bob Wilson","B. Wilson"
"Dick Dickey","D. Dickey"
"Ed Dahler","Ed Dahler"
"Al McGuire","Al McGuire"
"Jerry Fowler","J. Fowler"
"Jim Slaughter","J. Slaughter"
"Nate DeLong","N. DeLong"
"John Rennicke","J. Rennicke"
"Don Hanrahan","D. Hanrahan"
"Bob Naber","B. Naber"
"Gene Rhodes","G. Rhodes"
"Jim Baechtold","J. Baechtold"
"Jim Brasco","J. Brasco"
"Dick Bunt","D. Bunt"
"Pete Darcey","P. Darcey"
"Don Henriksen","D. Henriksen"
"Jim Holstein","J. Holstein"
"Bob Lochmueller","B. Lochmueller"
"Al Masino","Al Masino"
"Jack McMahon","J. McMahon"
"Monk Meineke","M. Meineke"
"Eddie Miller","E. Miller"
"Bill Mlkvy","B. Mlkvy"
"John O'Boyle","J. O'Boyle"
"Claude Overton","C. Overton"
"Ralph Polson","R. Polson"
"Moe Radovich","M. Radovich"
"Mark Workman","M. Workman"
"Bob Priddy","B. Priddy"
"Dick Groat","D. Groat"
"Gene Conley","G. Conley"
"Blaine Denning","B. Denning"
"Dick Surhoff","D. Surhoff"
"Zeke Zawoluk","Z. Zawoluk"
"Mike O'Neill","M. O'Neill"
"George McLeod","G. McLeod"
"Danny Finn","D. Finn"
"Jack McCloskey","J. McCloskey"
"Sherwin Raiken","S. Raiken"
"Jim Mooney","J. Mooney"
"Bucky McConnell","B. McConnell"
"Mo Mahoney","Mo Mahoney"
"Irv Bemoras","I. Bemoras"
"Jim Fritsche","J. Fritsche"
"Bob Houbregs","B. Houbregs"
"Clyde Lovellette","C. Lovellette"
"Don Sunderlage","D. Sunderlage"
"Isaac Walthour","I. Walthour"
"Don Ackerman","D. Ackerman"
"Ernie Beck","E. Beck"
"Walt Davis","W. Davis"
"Ed Earle","Ed Earle"
"Ray Felix","R. Felix"
"Jack George","J. George"
"Bato Govedarica","B. Govedarica"
"Norm Grekin","N. Grekin"
"Rollen Hans","R. Hans"
"Billy Kenville","B. Kenville"
"Dick Knostman","D. Knostman"
"Jim Neal","J. Neal"
"Bob Peterson","B. Peterson"
"Al Roges","Al Roges"
"Ed Smith","Ed Smith"
"Norm Swanson","N. Swanson"
"Hal Uplinger","H. Uplinger"
"Ernie Barrett","E. Barrett"
"George Yardley","G. Yardley"
"Jack Molinas","J. Molinas"
"Paul Nolen","P. Nolen"
"Jim Phelan","J. Phelan"
"Frank Reddout","F. Reddout"
"Bill Bolger","B. Bolger"
"Gene Dyker","G. Dyker"
"Don Asmonga","D. Asmonga"
"Joe Smyth","J. Smyth"
"Jim Luisi","J. Luisi"
"Connie Rea","C. Rea"
"Ed Kalafat","Ed Kalafat"
"Tom Marshall","T. Marshall"
"Phil Martin","P. Martin"
"Ken McBride","K. McBride"
"Red Morrison","R. Morrison"
"Boris Nachamkin","B. Nachamkin"
"Bob Pettit","B. Pettit"
"Frank Ramsey","F. Ramsey"
"Dick Rosenthal","D. Rosenthal"
"Art Spoelstra","A. Spoelstra"
"Jack Turner","J. Turner"
"Bobby Watson","B. Watson"
"Dick Farley","D. Farley"
"Red Kerr","R. Kerr"
"Jackie Moore","J. Moore"
"Togo Palazzi","T. Palazzi"
"Fred Christ","F. Christ"
"Chuck Grigsby","C. Grigsby"
"Don Anielak","D. Anielak"
"Bert Cook","B. Cook"
"Larry Costello","L. Costello"
"Gene Shue","G. Shue"
"Tom Brennan","T. Brennan"
"Ronnie MacGilvray","R. MacGilvray"
"Bob Knight","B. Knight"
"Fred Diute","F. Diute"
"Frank Selvy","F. Selvy"
"George Dempsey","G. Dempsey"
"Herm Hedderick","H. Hedderick"
"Jim Tucker","J. Tucker"
"Bob Carney","B. Carney"
"Skippy Whitaker","S. Whitaker"
"Mike Kearns","M. Kearns"
"Carl McNulty","C. McNulty"
"Dan King","D. King"
"Don Bielke","D. Bielke"
"Ed Conlin","Ed Conlin"
"Corky Devlin","C. Devlin"
"Ron Feiereisel","R. Feiereisel"
"Al Ferrari","Al Ferrari"
"Ed Fleming","Ed Fleming"
"Dick Garmaker","D. Garmaker"
"Chris Harris","C. Harris"
"Dick Hemric","D. Hemric"
